trade_date,stock_id,foreign_buy_shares,foreign_sell_shares,trust_buy_shares,trust_sell_shares,dealer_buy_shares,dealer_sell_shares
2025-12-16,5483,2393830000,1133000000,558000000,2190107000,73933000,75360000
2025-12-16,5488,1000000,0,0,0,3000000,3000000
2025-12-16,5489,7000000,3000000,0,0,1000,0
2025-12-16,5490,57000000,299000000,0,0,0,2073000
2025-12-16,5493,181000000,61000000,0,0,40000,0
2025-12-16,5498,19765086000,20726000000,0,0,1527633000,768970000
2025-12-16,5508,2000000000,603000000,0,2720000000,120233000,43578000
2025-12-16,5511,11000000,10000000,0,0,0,0
2025-12-16,5512,92000000,326000000,0,0,0,0
2025-12-16,5514,107000000,102000000,0,0,0,0
2025-12-16,5520,1000000,1000000,0,0,0,0
2025-12-16,5523,0,1000000,0,0,0,0
2025-12-16,5529,1000000,1000000,0,0,0,0
2025-12-16,5530,52000000,234000000,0,0,0,0
2025-12-16,5536,915000000,916350000,109000000,58000000,40830000,120775000
2025-12-16,5543,3000000,0,0,0,0,0
2025-12-16,5548,5000000,0,0,0,0,0
2025-12-16,5601,0,0,0,0,340000,0
2025-12-16,5603,4000000,1000000,0,0,0,5000
2025-12-16,5604,1000000,0,0,0,0,0
2025-12-16,5609,4000000,25000000,0,0,0,0
2025-12-16,5864,82882000,207000000,0,0,0,0
2025-12-16,5903,10000000,9000000,0,8000000,7000000,99000
2025-12-16,5904,161000000,160009000,0,1000000,200000,0
2025-12-16,5905,273000000,275000000,0,0,5000000,5029000
2025-12-16,6015,10000000,10000000,0,0,0,0
2025-12-16,6016,246000000,69000000,0,0,0,0
2025-12-16,6020,1000000,9000000,0,0,0,0
2025-12-16,6021,0,31000000,0,0,0,0
2025-12-16,6023,6000000,34000000,0,0,0,0
2025-12-16,6026,67000000,178000000,0,0,0,0
2025-12-16,6104,1695300000,1816000000,0,0,45266000,27526000
2025-12-16,6109,0,0,0,0,0,4000
2025-12-16,6111,47000000,108000000,0,0,134000,27310000
2025-12-16,6113,37000000,47000000,0,0,0,107000
2025-12-16,6114,5000000,6000000,0,0,0,0
2025-12-16,6118,38000000,110000000,0,0,5000000,5000000
2025-12-16,6121,223000000,487750000,232000000,7966000,29224000,13815000
2025-12-16,6122,68001000,63000000,0,0,0,2000
2025-12-16,6123,4000000,9000000,0,0,0,105000
2025-12-16,6124,0,1000000,0,0,0,0
2025-12-16,6125,468000000,619001000,0,0,9490000,36232000
2025-12-16,6126,224000000,639000000,0,0,0,236000
2025-12-16,6127,5222000000,5704000000,0,0,16471000,136231000
2025-12-16,6129,51000000,1000000,0,0,0,113000
2025-12-16,6130,85000000,77000000,0,0,0,0
2025-12-16,6134,117000000,308000000,0,0,1000000,2708000
2025-12-16,6138,196000000,140000000,0,13229000,789000,7115000
2025-12-16,6140,13000000,39000000,0,0,60000,0
2025-12-16,6143,114000000,192000000,0,0,10000000,18285000
2025-12-16,6146,108000000,142000000,0,0,0,1456000
2025-12-16,6147,881000000,1595000000,527000000,12770000,11391000,6446000
