stock_id,stock_name,stock_type
4763,材料*-KY,TW
4764,雙鍵,TW
4766,南寶,TW
4770,上品,TW
4771,望隼,TW
4807,日成-KY,TW
4904,遠傳,TW
4906,正文,TW
4912,聯德控股-KY,TW
4915,致伸,TW
4916,事欣科,TW
4919,新唐,TW
4927,泰鼎-KY,TW
4930,燦星網,TW
4934,太極,TW
4935,茂林-KY,TW
4938,和碩,TW
4942,嘉彰,TW
4943,康控-KY,TW
4949,有成精密,TW
4952,凌通,TW
4956,光鋐,TW
4958,臻鼎-KY,TW
4960,誠美材,TW
4961,天鈺,TW
4967,十銓,TW
4968,立積,TW
4976,佳凌,TW
4977,眾達-KY,TW
4989,榮科,TW
4994,傳奇,TW
4999,鑫禾,TW
5007,三星,TW
5203,訊連,TW
5215,科嘉-KY,TW
5222,全訊,TW
5225,東科-KY,TW
5234,達興材料,TW
5243,乙盛-KY,TW
5244,弘凱,TW
5258,虹堡,TW
5269,祥碩,TW
5283,禾聯碩,TW
5284,jpp-KY,TW
5285,界霖,TW
5288,豐祥-KY,TW
5292,華懋,TW
5306,桂盟,TW
5388,中磊,TW
5434,崇越,TW
5469,瀚宇博,TW
5471,松翰,TW
5484,慧友,TW
5515,建國,TW
5519,隆大,TW
5521,工信,TW
5522,遠雄,TW
5525,順天,TW
5531,鄉林,TW
5533,皇鼎,TW
5534,長虹,TW
5538,東明-KY,TW
5546,永固-KY,TW
5607,遠雄港,TW
5608,四維航,TW
5706,鳳凰,TW
5871,中租-KY,TW
5876,上海商銀,TW
5880,合庫金,TW
5906,台南-KY,TW
5907,大洋-KY,TW
6005,群益證,TW
6024,群益期,TW
6108,競國,TW
6112,邁達特,TW
6115,鎰勝,TW
6116,彩晶,TW
6117,迎廣,TW
6120,達運,TW
6128,上福,TW
6133,金橋,TW
6136,富爾特,TW
6139,亞翔,TW
6141,柏承,TW
6142,友勁,TW
6152,百一,TW
6153,嘉聯益,TW
6155,鈞寶,TW
6164,華興,TW
6165,浪凡,TW
6166,凌華,TW
6168,宏齊,TW
6176,瑞儀,TW
6177,達麗,TW
6183,關貿,TW
6184,大豐電,TW
6189,豐藝,TW
6191,精成科,TW
6192,巨路,TW
6196,帆宣,TW
6197,佳必琪,TW
6201,亞弘電,TW
6202,盛群,TW
6205,詮欣,TW
6206,飛捷,TW
6209,今國光,TW
6213,聯茂,TW
6214,精誠,TW
6215,和椿,TW
6216,居易,TW
6224,聚鼎,TW
6225,天瀚,TW
6226,光鼎,TW
6230,尼得科超眾,TW
6235,華孚,TW
6239,力成,TW
6243,迅杰,TW
6257,矽格,TW
6269,台郡,TW
6271,同欣電,TW
6277,宏正,TW
6278,台表科,TW
6281,全國電,TW
6282,康舒,TW
6283,淳安,TW
6285,啟��,TW
6405,悅城,TW
6409,旭隼,TW
6412,群電,TW
6414,樺漢,TW
6415,矽力*-KY,TW
6416,瑞祺電通,TW
6426,統新,TW
6431,光麗-KY,TW
6438,迅得,TW
6442,光聖,TW
6443,元晶,TW
6446,藥華藥,TW
6449,鈺邦,TW
6451,訊芯-KY,TW
6456,GIS-KY,TW
6464,台數科,TW
6472,保瑞,TW
6477,安集,TW
6491,晶碩,TW
6504,南六,TW
6505,台塑化,TW
6515,穎崴,TW
6525,捷敏-KY,TW
6526,達發,TW
6531,愛普*,TW
6533,晶心科,TW
6541,泰福-KY,TW
6550,北極星藥業-KY,TW
6552,易華電,TW
6558,興能高,TW
6573,虹揚-KY,TW
6579,研揚,TW
6581,鋼聯,TW
6582,申豐,TW
6585,鼎基,TW
6589,台康生技,TW
6591,動力-KY,TW
6592,和潤企業,TW
6598,ABC-KY,TW
6605,帝寶,TW
6606,建德工業,TW
6625,必應,TW
6641,基士德-KY,TW
6655,科定,TW
6657,華安,TW
6658,聯策,TW
6666,羅麗芬-KY,TW
6668,中揚光,TW
6669,緯穎,TW
6670,復盛應用,TW
6671,三能-KY,TW
6672,騰輝電子-KY,TW
6674,鋐寶科技,TW
6689,伊雲谷,TW
6691,洋基工程,TW
6695,芯鼎,TW
6698,旭暉應材,TW
6706,惠特,TW
6715,嘉基,TW
6719,力智,TW
6742,澤米,TW
6743,安普新,TW
6753,龍德造船,TW
6754,匯僑設計,TW
6756,威鋒電子,TW
6757,台灣虎航,TW
6768,志強-KY,TW
6770,力積電,TW
6776,展�眥篕�,TW
6781,AES-KY,TW
6782,視陽,TW
6789,采鈺,TW
6790,永豐實,TW
6792,詠業,TW
6794,向榮生技,TW
6796,晉弘,TW
6799,來頡,TW
6805,富世達,TW
6806,森崴能源,TW
6807,峰源-KY,TW
6830,汎銓,TW
6834,天二科技,TW
6835,圓裕,TW
6838,台新藥,TW
6861,睿生光電,TW
6862,三集瑞-KY,TW
6863,永道-KY,TW
6869,雲豹能源,TW
6873,泓德能源,TW
6885,全福生技,TW
6887,寶綠特-KY,TW
6890,來億-KY,TW
6901,鑽石投資,TW
6902,GOGOLOOK,TW
